País,Country,Principal Índice,ETFs Americanos,S&P,Moody's,Fitch,Nível de Risco,Empresa,Ticker,Setor,GeoJSON name
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Amazon.com Inc.,AMZN,Comércio Eletrônico,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Meta Platforms Inc.,META,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Tesla Inc.,TSLA,Automotivo,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Broadcom Inc.,AVGO,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Netflix Inc.,NFLX,Entretenimento,USA
China,China,Shanghai Composite,"ASHR, MCHI, FXI",A+,A1,A,a,Kweichow Moutai,600519,Bebidas alcoólicas,China
China,China,Shanghai Composite,"ASHR, MCHI, FXI",A+,A1,A,a,Industrial and Commercial Bank of China,601398,Bancário,China
China,China,Shanghai Composite,"ASHR, MCHI, FXI",A+,A1,A,a,Agricultural Bank of China,601288,Bancário,China
China,China,Shanghai Composite,"ASHR, MCHI, FXI",A+,A1,A,a,Bank of China,601988,Bancário,China
China,China,Shanghai Composite,"ASHR, MCHI, FXI",A+,A1,A,a,China Merchants Bank,600036,Bancário,China
China,China,Shenzhen Component,"ASHS, CNXT",A+,A1,A,a,BYD Company,2594,Automotivo,China
China,China,Shenzhen Component,"ASHS, CNXT",A+,A1,A,a,Contemporary Amperex Technology (CATL),300750,Baterias,China
China,China,Shenzhen Component,"ASHS, CNXT",A+,A1,A,a,Midea Group,333,Eletrodomésticos,China
China,China,Shenzhen Component,"ASHS, CNXT",A+,A1,A,a,Gree Electric Appliances,651,Eletrodomésticos,China
China,China,Shenzhen Component,"ASHS, CNXT",A+,A1,A,a,Wuliangye Yibin,858,Bebidas alcoólicas,China
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Toyota Motor Corporation,7203,Automotivo,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Mitsubishi UFJ Financial Group,8306,Bancário,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Sony Group Corporation,6758,Eletrônicos,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Hitachi Ltd,6501,Conglomerado,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Recruit Holdings Co Ltd,6098,Recursos Humanos,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Fast Retailing Co Ltd,9983,Varejo,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Sumitomo Mitsui Financial Group,8316,Bancário,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,SoftBank Group Corp,9984,Telecomunicações,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Nippon Telegraph & Telephone,9432,Telecomunicações,Japan
Japão,Japan,Nikkei 225,"EWJ, DXJ",A+,A1,A,a,Tokio Marine Holdings,8766,Seguros,Japan
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,AstraZeneca,AZN,Farmacêutico,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,Shell,SHEL,Energia,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,HSBC Holdings,HSBA,Bancário,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,Unilever,ULVR,Bens de Consumo,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,RELX,REL,Mídia e Publicações,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,BP,BP,Energia,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,British American Tobacco,BATS,Tabaco,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,London Stock Exchange Group,LSEG,Serviços Financeiros,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,Rio Tinto,RIO,Mineração,England
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA-,aa,Diageo,DGE,Bebidas Alcoólicas,England
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,SAP SE,SAP,Tecnologia,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Siemens AG,SIE,Conglomerado Industrial,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Deutsche Telekom AG,DTE,Telecomunicações,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Allianz SE,ALV,Seguros,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Volkswagen AG,VOW3,Automotivo,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Mercedes-Benz Group AG,MBG,Automotivo,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,BMW AG,BMW,Automotivo,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Bayer AG,BAYN,Farmacêutico,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,BASF SE,BAS,Química,Germany
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Deutsche Post AG,DPW,Logística,Germany
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,LVMH Moët Hennessy,MC,Luxo,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,TotalEnergies SE,TTE,Energia,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,Sanofi,SAN,Farmacêutico,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,L'Oréal,OR,Bens de Consumo,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,BNP Paribas,BNP,Bancário,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,Hermès International,RMS,Luxo,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,Air Liquide,AI,Química,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,Schneider Electric,SU,Energia,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,AXA,CS,Seguros,France
França,France,CAC 40,EWQ,AA-,Aa2,AA-,aa,Kering,KER,Luxo,France
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Reliance Industries,RELIANCE,Energia,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Tata Consultancy Services,TCS,Tecnologia,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,HDFC Bank,HDFCBANK,Bancário,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Infosys,INFY,Tecnologia,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,ICICI Bank,ICICIBANK,Bancário,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Hindustan Unilever,HINDUNILVR,Bens de Consumo,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,State Bank of India,SBIN,Bancário,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Bharti Airtel,BHARTIARTL,Telecomunicações,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,ITC Limited,ITC,Bens de Consumo,India
Índia,India,Nifty 50,"INDY, INDA",BBB-,Baa3,BBB-,bbb,Kotak Mahindra Bank,KOTAKBANK,Bancário,India
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Petrobras,PETR4,Energia,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Vale,VALE3,Mineração,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Itaú Unibanco,ITUB4,Bancário,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Bradesco,BBDC4,Bancário,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,B3,B3SA3,Financeiro,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Ambev,ABEV3,Bebidas,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Magazine Luiza,MGLU3,Varejo,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Banco do Brasil,BBAS3,Bancário,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,Santander Brasil,SANB11,Bancário,Brazil
Brasil,Brazil,Ibovespa,EWZ,BB,Ba2,BB-,45,WEG,WEGE3,Industrial,Brazil
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Royal Bank of Canada,RY,Bancário,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Toronto-Dominion Bank,TD,Bancário,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Enbridge Inc.,ENB,Energia,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Canadian National Railway,CNR,Transporte,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Canadian Pacific Kansas City Ltd,CP,Transporte,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Shopify Inc.,SHOP,Tecnologia,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Bank of Montreal,BMO,Bancário,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Bank of Nova Scotia,BNS,Bancário,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Brookfield Corporation,BN,Financeiro,Canada
Canadá,Canada,S&P/TSX Composite,EWC,AAA,Aaa,AAA,aaa,Canadian Natural Resources,CNQ,Energia,Canada
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,BHP Group,BHP,Materiais,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Commonwealth Bank,CBA,Financeiro,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,CSL Limited,CSL,Saúde,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,National Australia Bank,NAB,Financeiro,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Westpac Banking Corporation,WBC,Financeiro,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,ANZ Banking Group,ANZ,Financeiro,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Macquarie Group,MQG,Financeiro,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Wesfarmers,WES,Consumo Discricionário,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Woolworths Group,WOW,Consumo Discricionário,Australia
Austrália,Australia,S&P/ASX 200,EWA,AAA,Aaa,AAA,aaa,Telstra Corporation,TLS,Telecomunicações,Australia
Hong Kong,Hong Kong,Hang Seng Index,EWH,AA+,Aa3,AA-,aa,HSBC Holdings,5,Bancário,Hong Kong
Hong Kong,Hong Kong,Hang Seng Index,EWH,AA+,Aa3,AA-,aa,AIA Group,1299,Seguros,Hong Kong
Hong Kong,Hong Kong,Hang Seng Index,EWH,AA+,Aa3,AA-,aa,Tencent Holdings,700,Tecnologia,Hong Kong
Hong Kong,Hong Kong,Hang Seng Index,EWH,AA+,Aa3,AA-,aa,Alibaba Group,9988,Tecnologia,Hong Kong
Hong Kong,Hong Kong,Hang Seng Index,EWH,AA+,Aa3,AA-,aa,Meituan,3690,Tecnologia,Hong Kong
Coreia do Sul,South Korea,KOSPI,EWY,AA,Aa2,AA-,aa,Samsung Electronics,005930,Tecnologia,South Korea
Coreia do Sul,South Korea,KOSPI,EWY,AA,Aa2,AA-,aa,SK Hynix,000660,Tecnologia,South Korea
Coreia do Sul,South Korea,KOSPI,EWY,AA,Aa2,AA-,aa,LG Chem,051910,Química,South Korea
Coreia do Sul,South Korea,KOSPI,EWY,AA,Aa2,AA-,aa,Samsung SDI,006400,Tecnologia,South Korea
Coreia do Sul,South Korea,KOSPI,EWY,AA,Aa2,AA-,aa,Hyundai Motor,005380,Automotivo,South Korea
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Nestlé,NESN,Alimentos,Switzerland
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Roche Holding,ROG,Farmacêutico,Switzerland
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Novartis,NOVN,Farmacêutico,Switzerland
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,UBS Group,UBSG,Bancário,Switzerland
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Zurich Insurance Group,ZURN,Seguros,Switzerland
Rússia,Russia,MOEX Russia Index,ERUS,CCC-,Caa1,B,b,Gazprom,GAZP,Energia,Russia
Rússia,Russia,MOEX Russia Index,ERUS,CCC-,Caa1,B,b,Sberbank,SBER,Bancário,Russia
Rússia,Russia,MOEX Russia Index,ERUS,CCC-,Caa1,B,b,Lukoil,LKOH,Energia,Russia
Rússia,Russia,MOEX Russia Index,ERUS,CCC-,Caa1,B,b,Rosneft,ROSN,Energia,Russia
Rússia,Russia,MOEX Russia Index,ERUS,CCC-,Caa1,B,b,Norilsk Nickel,GMKN,Mineração,Russia
África do Sul,South Africa,FTSE/JSE Top 40,EZA,BB,Ba2,BB-,bb,Naspers,NPN,Tecnologia,South Africa
África do Sul,South Africa,FTSE/JSE Top 40,EZA,BB,Ba2,BB-,bb,FirstRand,FSR,Bancário,South Africa
África do Sul,South Africa,FTSE/JSE Top 40,EZA,BB,Ba2,BB-,bb,Standard Bank Group,SBK,Bancário,South Africa
África do Sul,South Africa,FTSE/JSE Top 40,EZA,BB,Ba2,BB-,bb,MTN Group,MTN,Telecomunicações,South Africa
África do Sul,South Africa,FTSE/JSE Top 40,EZA,BB,Ba2,BB-,bb,Sasol,SOL,Energia,South Africa
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,América Móvil,AMX,Telecomunicações,Mexico
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Grupo Financiero Banorte,GFNORTEO,Bancário,Mexico
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Walmart de México,WALMEX,Varejo,Mexico
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Grupo México,GMEXICOB,Mineração,Mexico
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,FEMSA,FEMSAUBD,Bebidas,Mexico
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Enel,ENEL,Energia,Italy
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Intesa Sanpaolo,ISP,Bancário,Italy
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Eni,ENI,Energia,Italy
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Ferrari,RACE,Automotivo,Italy
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,UniCredit,UCG,Bancário,Italy
Espanha,Spain,IBEX 35,EWP,A,Baa1,A-,a,Banco Santander,SAN,Bancário,Spain
Espanha,Spain,IBEX 35,EWP,A,Baa1,A-,a,Iberdrola,IBE,Energia,Spain
Espanha,Spain,IBEX 35,EWP,A,Baa1,A-,a,BBVA,BBVA,Bancário,Spain
Espanha,Spain,IBEX 35,EWP,A,Baa1,A-,a,Inditex,ITX,Varejo,Spain
Espanha,Spain,IBEX 35,EWP,A,Baa1,A-,a,Telefónica,TEF,Telecomunicações,Spain
Nigéria,Nigeria,NSE All-Share Index,NGE,B-,B2,B-,b,Dangote Cement,DANGCEM,Materiais de Construção,Nigeria
Nigéria,Nigeria,NSE All-Share Index,NGE,B-,B2,B-,b,MTN Nigeria,MTNN,Telecomunicações,Nigeria
Nigéria,Nigeria,NSE All-Share Index,NGE,B-,B2,B-,b,Guaranty Trust Bank,GUARANTY,Bancário,Nigeria
Nigéria,Nigeria,NSE All-Share Index,NGE,B-,B2,B-,b,Zenith Bank,ZENITHBANK,Bancário,Nigeria
Nigéria,Nigeria,NSE All-Share Index,NGE,B-,B2,B-,b,Nigerian Breweries,NB,Bebidas,Nigeria
Argentina,Argentina,MERVAL,ARGT,CCC,Caa3,B (low),13,Grupo Financiero Galicia,GGAL,Bancário,Argentina
Argentina,Argentina,MERVAL,ARGT,CCC,Caa3,B (low),13,YPF,YPFD,Energia,Argentina
Argentina,Argentina,MERVAL,ARGT,CCC,Caa3,B (low),13,Banco Macro,BMA,Bancário,Argentina
Argentina,Argentina,MERVAL,ARGT,CCC,Caa3,B (low),13,Pampa Energía,PAMP,Energia,Argentina
Argentina,Argentina,MERVAL,ARGT,CCC,Caa3,B (low),13,Telecom Argentina,TECO2,Telecomunicações,Argentina
Chile,Chile,IPSA,ECH,A,A2,A-,a,Falabella,FALABELLA,Varejo,Chile
Chile,Chile,IPSA,ECH,A,A2,A-,a,Banco de Chile,CHILE,Bancário,Chile
Chile,Chile,IPSA,ECH,A,A2,A-,a,Empresas COPEC,COPEC,Energia,Chile
Chile,Chile,IPSA,ECH,A,A2,A-,a,Enel Américas,ENELAM,Energia,Chile
Chile,Chile,IPSA,ECH,A,A2,A-,a,SQM,SQM-B,Materiais,Chile
Colômbia,Colombia,COLCAP,GXG,BB+,Baa2,BB+,bb,Ecopetrol,ECOPETROL,Energia,Colombia
Colômbia,Colombia,COLCAP,GXG,BB+,Baa2,BB+,bb,Bancolombia,BCOLOMBIA,Bancário,Colombia
Colômbia,Colombia,COLCAP,GXG,BB+,Baa2,BB+,bb,Grupo Aval,GRUPOAVAL,Financeiro,Colombia
Colômbia,Colombia,COLCAP,GXG,BB+,Baa2,BB+,bb,Grupo Energía Bogotá,GEB,Energia,Colombia
Colômbia,Colombia,COLCAP,GXG,BB+,Baa2,BB+,bb,Grupo Nutresa,NUTRESA,Alimentos,Colombia
Peru,Peru,S&P/BVL Peru General,EPU,BBB-,Baa1,BBB,bbb,Credicorp,BAP,Bancário,Peru
Peru,Peru,S&P/BVL Peru General,EPU,BBB-,Baa1,BBB,bbb,Southern Copper,SCCO,Mineração,Peru
Peru,Peru,S&P/BVL Peru General,EPU,BBB-,Baa1,BBB,bbb,Buenaventura,BVN,Mineração,Peru
Peru,Peru,S&P/BVL Peru General,EPU,BBB-,Baa1,BBB,bbb,InRetail Peru,INRETC1,Varejo,Peru
Peru,Peru,S&P/BVL Peru General,EPU,BBB-,Baa1,BBB,bbb,Alicorp,ALICORC1,Alimentos,Peru
Venezuela,Venezuela,IBC,,,,,b,CANTV,TDV.C,Telecomunicações,Venezuela
Venezuela,Venezuela,IBC,,,,,b,Mercantil Servicios Financieros,MVZ.A,Bancário,Venezuela
Venezuela,Venezuela,IBC,,,,,b,Banco Provincial,BPV,Bancário,Venezuela
Venezuela,Venezuela,IBC,,,,,b,Sivensa,SVS.A,Industrial,Venezuela
Venezuela,Venezuela,IBC,,,,,b,Manpa,MPA.A,Industrial,Venezuela
Singapura,Singapore,STI,EWS,AAA,Aaa,AAA,aaa,DBS Group,D05,Bancário,Singapore
Singapura,Singapore,STI,EWS,AAA,Aaa,AAA,aaa,OCBC Bank,O39,Bancário,Singapore
Singapura,Singapore,STI,EWS,AAA,Aaa,AAA,aaa,United Overseas Bank,U11,Bancário,Singapore
Singapura,Singapore,STI,EWS,AAA,Aaa,AAA,aaa,Singtel,Z74,Telecomunicações,Singapore
Singapura,Singapore,STI,EWS,AAA,Aaa,AAA,aaa,Wilmar International,F34,Agroindústria,Singapore
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Bank Central Asia,BBCA,Bancário,Indonesia
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Bank Rakyat Indonesia,BBRI,Bancário,Indonesia
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Telkom Indonesia,TLKM,Telecomunicações,Indonesia
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Bank Mandiri,BMRI,Bancário,Indonesia
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Astra International,ASII,Conglomerado,Indonesia
Malásia,Malaysia,KLCI,EWM,A-,A3,A-,a,Maybank,MAYBANK,Bancário,Malaysia
Malásia,Malaysia,KLCI,EWM,A-,A3,A-,a,Public Bank,PBBANK,Bancário,Malaysia
Malásia,Malaysia,KLCI,EWM,A-,A3,A-,a,CIMB Group,CIMB,Bancário,Malaysia
Malásia,Malaysia,KLCI,EWM,A-,A3,A-,a,Tenaga Nasional,TENAGA,Energia,Malaysia
Malásia,Malaysia,KLCI,EWM,A-,A3,A-,a,Petronas Chemicals,PCHEM,Química,Malaysia
Tailândia,Thailand,SET,THD,BBB+,Baa1,BBB+,bbb,PTT PCL,PTT,Energia,Thailand
Tailândia,Thailand,SET,THD,BBB+,Baa1,BBB+,bbb,Airports of Thailand,AOT,Transporte,Thailand
Tailândia,Thailand,SET,THD,BBB+,Baa1,BBB+,bbb,CP ALL,CPALL,Varejo,Thailand
Tailândia,Thailand,SET,THD,BBB+,Baa1,BBB+,bbb,Siam Cement,SCC,Materiais,Thailand
Tailândia,Thailand,SET,THD,BBB+,Baa1,BBB+,bbb,PTT Global Chemical,PTTGC,Química,Thailand
Filipinas,Philippines,PSEi,EPHE,BBB+,Baa2,BBB,bbb,SM Investments,SM,Conglomerado,Philippines
Filipinas,Philippines,PSEi,EPHE,BBB+,Baa2,BBB,bbb,Ayala Land,ALI,Imobiliário,Philippines
Filipinas,Philippines,PSEi,EPHE,BBB+,Baa2,BBB,bbb,BDO Unibank,BDO,Bancário,Philippines
Filipinas,Philippines,PSEi,EPHE,BBB+,Baa2,BBB,bbb,SM Prime Holdings,SMPH,Imobiliário,Philippines
Filipinas,Philippines,PSEi,EPHE,BBB+,Baa2,BBB,bbb,Ayala Corporation,AC,Conglomerado,Philippines
Turquia,Turkey,BIST 100,TUR,B+,B3,B+,b,Garanti BBVA,GARAN,Bancário,Turkey
Turquia,Turkey,BIST 100,TUR,B+,B3,B+,b,Akbank,AKBNK,Bancário,Turkey
Turquia,Turkey,BIST 100,TUR,B+,B3,B+,b,Koç Holding,KCHOL,Conglomerado,Turkey
Turquia,Turkey,BIST 100,TUR,B+,B3,B+,b,Türkiye İş Bankası,ISCTR,Bancário,Turkey
Turquia,Turkey,BIST 100,TUR,B+,B3,B+,b,Ereğli Demir ve Çelik,EREGL,Siderurgia,Turkey
Polônia,Poland,WIG20,EPOL,A-,A2,A-,a,PKO Bank Polski,PKO,Bancário,Poland
Polônia,Poland,WIG20,EPOL,A-,A2,A-,a,Bank Pekao,PEO,Bancário,Poland
Polônia,Poland,WIG20,EPOL,A-,A2,A-,a,PZU,PZU,Seguros,Poland
Polônia,Poland,WIG20,EPOL,A-,A2,A-,a,PKN Orlen,PKN,Energia,Poland
Polônia,Poland,WIG20,EPOL,A-,A2,A-,a,KGHM Polska Miedź,KGH,Mineração,Poland
Taiwan,Taiwan,TAIEX,EWT,AA-,Aa3,AA-,aa,Taiwan Semiconductor Manufacturing,2330,Tecnologia,Taiwan
Taiwan,Taiwan,TAIEX,EWT,AA-,Aa3,AA-,aa,Hon Hai Precision Industry,2317,Tecnologia,Taiwan
Taiwan,Taiwan,TAIEX,EWT,AA-,Aa3,AA-,aa,MediaTek,2454,Tecnologia,Taiwan
Taiwan,Taiwan,TAIEX,EWT,AA-,Aa3,AA-,aa,Cathay Financial Holding,2882,Financeiro,Taiwan
Taiwan,Taiwan,TAIEX,EWT,AA-,Aa3,AA-,aa,Delta Electronics,2308,Tecnologia,Taiwan
Albania,Albania,,,BB,Ba3,,40,,,,ALBANIA
Andorra,Andorra,,,,,,,,,,ANDORRA
Angola,Angola,Luanda Stock Exchange (BODIVA),,B-,B3,,25,,,,ANGOLA
Armenia,Armenia,,,,,,,,,,ARMENIA
Aruba,Aruba,,,,,,,,,,ARUBA
Austria,Austria,ATX,,AA+,Aa1,AAA,96,,,,AUSTRIA
Azerbaijan,Azerbaijan,,,,,,,,,,AZERBAIJAN
